代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率(动态),市净率
301587,N中瑞,37.75,73.72,16.02,209036,830572752.93,23.38,42.66,37.58,40.14,21.73,-,72.12,40.9,2.86
872931,N鼎邦,10.2,64.52,4.0,201910,243012238.21,59.19,13.87,10.2,13.0,6.2,9345.95,84.92,19.54,2.71
300310,宜通世纪,5.02,20.1,0.84,1438350,680823608.63,17.46,5.02,4.29,4.4,4.18,2.72,20.79,436.26,2.38
301488,豪恩汽电,62.46,20.0,10.41,73372,450272279.02,20.08,62.46,52.01,52.05,52.05,3.5,34.71,62.34,4.75
301121,紫建电子,42.55,19.79,7.03,99943,419202223.27,10.19,42.62,39.0,40.0,35.52,3.23,33.81,-570.95,1.86
300139,晓程科技,13.16,18.13,2.02,1088593,1349611276.92,17.06,13.3,11.4,11.8,11.14,3.03,46.59,64.4,3.41
300107,建新股份,9.63,15.33,1.28,1188074,1059199218.55,21.08,9.68,7.92,8.34,8.35,1.08,34.86,376.52,3.66
300339,润和软件,24.52,11.2,2.47,1072963,2595703965.79,14.06,25.36,22.26,22.38,22.05,3.73,13.8,149.19,5.89
300800,力合科技,11.92,11.19,1.2,111183,133378009.34,13.62,12.69,11.23,11.37,10.72,4.29,7.86,57.35,1.38
300103,达刚控股,4.99,11.14,0.5,294378,145949662.83,20.94,5.38,4.44,4.54,4.49,4.39,11.99,-35.58,2.25
000751,锌业股份,3.69,10.15,0.34,1700194,617246566.72,9.85,3.69,3.36,3.38,3.35,4.82,12.06,92.05,1.68
837046,亿能电力,8.16,10.12,0.75,41608,32111062.1,13.23,8.16,7.18,7.41,7.41,1.79,12.97,37.56,2.47
600744,华银电力,3.38,10.1,0.31,1020721,329221559.0,11.07,3.38,3.04,3.06,3.07,5.78,5.03,259.67,4.86
600319,亚星化学,5.24,10.08,0.48,288948,142722215.0,12.82,5.24,4.63,4.76,4.76,2.58,9.16,-19.39,3.63
600611,大众交通,3.06,10.07,0.28,669244,198794989.0,10.43,3.06,2.77,2.79,2.78,6.86,4.28,22.32,0.76
600193,创兴资源,5.03,10.07,0.46,100313,49432794.0,11.82,5.03,4.49,4.53,4.57,2.42,2.36,-212.5,6.9
601212,白银有色,3.61,10.06,0.33,3571692,1274504614.0,7.32,3.61,3.37,3.43,3.28,3.36,4.82,-390.92,1.76
002331,皖通科技,7.99,10.06,0.73,131217,103987583.16,10.06,7.99,7.26,7.27,7.26,0.42,3.31,-31.86,1.95
000037,深南电A,10.18,10.05,0.93,479859,472150119.22,11.68,10.18,9.1,9.19,9.25,2.03,14.16,-160.02,4.3
